,R1,R2,R3,R4,R5,R6,R7
3232,6,8,29,31,35,36,33
3231,1,3,8,26,37,43,23
3230,1,4,14,20,30,38,11
3229,5,17,21,39,42,44,16
3228,3,6,8,18,19,43,32
3227,9,11,12,21,25,30,40
3226,6,21,25,35,38,41,32
3225,3,6,8,11,31,38,4
3224,1,14,25,31,38,42,15
3223,2,4,6,9,23,33,12
3222,3,8,15,22,24,26,34
3221,3,6,13,24,29,42,21
3220,5,15,20,28,29,44,40
3219,9,18,20,33,34,37,19
3218,6,14,17,22,25,38,23
3217,7,9,14,16,27,42,10
3216,15,20,27,32,38,42,30
3215,16,26,27,33,38,44,37
3214,3,16,17,22,28,42,13
3213,14,15,20,26,27,39,6
3212,2,6,23,29,40,41,1
3211,1,3,20,30,31,43,28
3210,7,15,20,29,31,35,11
3209,8,14,24,34,38,43,27
3208,9,10,11,12,16,37,22
3207,4,5,10,17,18,42,25
3206,8,9,11,32,37,38,1
3205,16,25,29,30,32,34,7
3204,9,13,19,24,25,28,44
3203,2,20,24,27,37,40,6
3202,2,4,6,11,30,42,5
3201,3,4,12,14,31,41,36
3200,9,11,25,26,34,39,31
3199,1,2,25,32,38,39,3
3198,7,13,21,23,32,35,20
3197,8,12,13,22,24,35,33
3196,17,24,25,28,37,44,29
3195,7,17,18,24,32,42,14
3194,1,19,21,28,39,40,16
3193,13,20,28,29,38,44,32
3192,20,27,30,34,38,40,32
3191,2,10,19,25,33,37,5
3190,6,14,16,28,29,41,22
3189,6,14,26,33,38,39,43
3188,3,7,8,18,22,44,6
3187,8,27,33,38,39,43,20
3186,2,11,13,24,29,31,36
3185,4,5,7,17,22,31,44
3184,13,25,33,37,40,43,30
3183,8,12,13,16,26,43,5
3182,10,14,17,22,33,44,39
3181,6,12,13,18,25,29,16
3180,2,3,16,17,29,36,8
3179,4,5,13,18,19,38,39
3178,4,5,6,19,35,36,31
3177,8,10,13,35,39,41,24
3176,10,21,23,24,39,42,19
3175,14,15,20,24,26,42,22
3174,2,3,14,18,19,23,42
3173,7,8,11,19,24,29,17
3172,5,24,33,34,39,41,9
3171,2,10,12,22,29,39,1
3170,3,4,13,27,30,35,38
3169,3,5,20,22,35,44,31
3168,3,7,16,23,37,44,4
3167,7,12,22,25,33,42,14
3166,10,12,16,18,43,44,3
3165,6,16,17,20,24,29,4
3164,11,16,23,34,41,44,14
3163,6,11,24,26,28,35,15
3162,1,2,16,18,30,38,27
3161,4,18,19,21,22,32,11
3160,5,17,27,28,29,32,23
3159,4,8,11,25,32,37,34
3158,1,4,15,21,31,39,5
3157,1,11,13,14,20,30,21
3156,11,12,19,36,37,43,24
3155,2,6,8,30,32,42,11
3154,2,14,15,37,41,43,29
3153,2,5,26,35,37,40,17
3152,2,12,18,20,28,30,15
3151,3,9,10,14,16,36,18
3150,6,28,29,30,32,44,11
3149,2,21,30,38,40,42,15
3148,7,8,11,27,38,39,16
3147,2,12,16,22,23,40,9
3146,4,8,11,14,33,39,34
3145,4,8,17,27,29,43,34
3144,1,7,10,15,25,42,35
3143,8,9,15,16,20,36,7
3142,10,15,16,22,35,37,34
3141,1,5,15,16,26,28,25
3140,4,14,21,22,40,41,19
3139,14,20,21,27,36,43,8
3138,6,7,18,20,28,37,34
3137,5,15,18,37,38,39,34
3136,12,14,19,24,34,37,9
3135,1,5,6,10,13,19,38
3134,2,5,21,23,35,41,38
3133,1,8,14,15,16,33,5
3132,1,3,5,6,10,17,37
3131,21,26,27,28,31,43,42
3130,5,12,19,25,30,42,29
3129,1,2,3,17,28,41,34
3128,1,2,24,25,27,42,19
3127,14,16,26,29,36,37,5
3126,4,8,22,24,41,43,42
3125,2,15,25,27,32,37,4
3124,2,9,14,16,25,40,6
3123,1,10,23,26,42,44,3
3122,13,15,34,35,37,43,32
3121,9,10,22,23,33,41,25
3120,2,5,11,38,42,43,7
3119,2,6,17,18,29,40,33
3118,1,12,22,23,41,43,30
3117,7,16,23,31,36,44,29
3116,5,7,14,20,29,33,10
3115,9,13,32,33,39,41,21
3114,2,7,21,23,32,39,25
3113,4,19,20,28,33,40,39
3112,6,19,29,33,37,43,36
3111,8,10,17,21,37,41,31
3110,13,17,22,26,36,37,25
3109,1,2,4,7,19,43,31
3108,5,20,26,33,34,40,31
3107,4,7,16,25,27,44,2
3106,8,24,25,26,35,42,3
3105,14,20,31,34,38,39,32
3104,1,20,21,32,40,43,39
3103,15,16,22,25,32,37,20
3102,6,13,22,27,39,40,32
3101,3,16,20,31,35,39,6
3100,12,23,29,34,36,41,33
3099,5,7,11,14,18,44,38
3098,8,17,24,30,37,40,3
3097,3,5,11,13,35,38,18
3096,3,11,21,28,31,39,25
3095,7,16,18,24,36,42,12
3094,7,20,25,36,37,43,2
3093,2,4,7,9,10,24,28
3092,5,12,23,30,34,41,13
3091,13,16,21,35,36,44,25
3090,7,13,36,37,40,43,15
3089,4,8,10,36,38,42,19
3088,6,15,19,27,29,41,26
3087,3,9,10,15,40,44,2
3086,6,13,32,33,40,41,19
3085,1,3,14,18,24,35,13
